Shopify Shop Name,Shopify Order Name,Product Name,Color,Size,Status Name,Status Updatedat Date,Shipping Tracking
1993shirt,zqvH7N87B,Big Accessories Ultimate Dad Cap,black,med,shipped,2021-11-19,9400136895232601546211
1993shirt,MUGi3vWP6,Gildan Cotton T-Shirt,black,xlg,tracked-truckline,2021-11-19,
1greatshirts,#12100,Gildan Cotton T-Shirt,sports grey,lrg,shipped,2021-11-19,9400136895232600826161
1greatshirts,#11876,Gildan Sweatshirt - Crew,white,lrg,sort-gaylords,2021-11-18,
1greatshirts,#12160,Gildan Youth Ultra Cotton T,dark chocolate,xlg,shipped,2021-11-19,9400136895232600791391
1greatshirts,#11876,Port & Company Core Fleece Crewneck Sweatshirt,white,xlg,marshal-qc,2021-11-18,
1greatshirts,#12071,Gildan Ultra Ladies T-Shirt,forest green,xlg,blank-item,2021-11-19,
1greatshirts,#11876,Gildan Sweatshirt - Crew,white,lrg,ordered-ups,2021-11-18,
1greatshirts,#12195,Next Level Mens Jersey Tank,kelly green,xlg,tracked-ups,2021-11-19,
1greatshirts,#11876,Port & Company Core Fleece Crewneck Sweatshirt,white,xlg,ordered-ups,2021-11-18,
1greatshirts,#12043,Gildan 50/50 Hoodie,navy,xxxxl,carted,2021-11-18,
1greatshirts,#11635,Gildan Youth Hoodie,violet,lrg,blank-item,2021-11-15,
1greatshirts,#12009,Gildan Ultra Ladies T-Shirt,dark heather,xxxl,sort-gaylords,2021-11-17,
1greatshirts,#11884,Gildan Sweatshirt - Crew,graphite heather,xlg,blank-item,2021-11-19,
1greatshirts,#11843,Hanes Ultimate Cotton Fleece Crew,oxford gray,xlg,ordered-ups,2021-11-19,
1greatshirts,#12116,Gildan Youth Softstyle 4.5 oz T-Shirt,heliconia,med,shipped,2021-11-19,9400136895232600848637
1greatshirts,#11941,Gildan Youth Sweatshirt,black,med,blank-item,2021-11-18,
1greatshirts,#12127,Gildan Youth Softstyle 4.5 oz T-Shirt,navy,xsml,received,2021-11-19,
1greatshirts,#11876,Gildan Long Sleeve T-Shirt,white,xlg,sort-gaylords,2021-11-18,
1greatshirts,#12183,Gildan Youth Hoodie,black,lrg,carted,2021-11-19,
1greatshirts,#11876,Gildan Long Sleeve T-Shirt,white,xlg,marshal-qc,2021-11-18,
1greatshirts,#12009,Gildan Cotton T-Shirt,sports grey,xxxxl,single-qc,2021-11-18,
1greatshirts,#12009,Gildan 50/50 Hoodie,red,xxxl,single-qc,2021-11-18,
1greatshirts,#11876,Port & Company Core Fleece Crewneck Sweatshirt,white,xlg,sort-gaylords,2021-11-18,
1greatshirts,#12001,Gildan Youth Hoodie,black,med,blank-item,2021-11-16,
1greatshirts,#12135,Bella Ladies V-Neck,true royal,lrg,shipped,2021-11-19,9400136895232600791384
1greatshirts,#11757,Gildan Youth Hoodie,violet,xlg,blank-item,2021-11-18,
1greatshirts,#11674,Hanes Ultimate Cotton Fleece Crew,oxford gray,xlg,ordered-ups,2021-11-19,
1greatshirts,#12042,Gildan Ultra Ladies T-Shirt,black,xsml,carted,2021-11-19,
1greatshirts,#11726,Gildan Youth Sweatshirt,sports grey,lrg,blank-item,2021-11-18,
1greatshirts,#12009,Gildan 50/50 Hoodie,red,xxxl,tracked-ups,2021-11-17,
1greatshirts,#12095,Gildan Youth Sweatshirt,black,xlg,shipped,2021-11-19,92748999963309000240540741
1greatshirts,#11876,Gildan Sweatshirt - Crew,white,lrg,marshal-qc,2021-11-18,
1greatshirts,#11876,Gildan Long Sleeve T-Shirt,white,xlg,ordered-ups,2021-11-18,
1greatshirts,#12188,Jerzees 50/50 Hoodie,retro heather coral,med,carted,2021-11-19,
1greatshirts,#12009,Gildan Cotton T-Shirt,sports grey,xxxxl,tracked-ups,2021-11-17,
22-december,#19665,Matte Poster,white,one,grouped,2021-11-19,
22-december,#19740,Matte Poster,white,one,shipped,2021-11-19,92748999963309000240541854
22-december,#19664,Matte Poster,white,one,shipped,2021-11-19,92748999963309000240552089
22-december,#19783,Matte Poster,white,one,shipped,2021-11-19,92748999963309000240534740
22-december,#19671,Matte Poster,white,one,shipped,2021-11-19,92748999963309000240543001
22-december,#19695,Matte Poster,white,one,shipped,2021-11-19,92748999963309000240552263
22-december,#19707,Matte Poster,white,one,shipped,2021-11-19,92748999963309000240537352
22-december,#19667,Matte Poster,white,one,shipped,2021-11-19,92748999963309000240550443
22-december,#19795,Matte Poster,white,one,shipped,2021-11-19,92748999963309000240537321
22-december,#19666,Matte Poster,white,one,grouped,2021-11-19,
22-december,#19733,Matte Poster,white,one,shipped,2021-11-19,92748999963309000240534665
22-december,#19697,Matte Poster,white,one,grouped,2021-11-19,
22-december,#19677,Matte Poster,white,one,grouped,2021-11-19,
22-december,#19758,Matte Poster,white,one,grouped,2021-11-19,
22-december,#19679,Matte Poster,white,one,grouped,2021-11-19,
22-december,#19787,Matte Poster,white,one,shipped,2021-11-19,92748999963309000240542004
22-december,#19724,Gloss Poster,white,one,ripped,2021-11-19,
22-december,#19689,Matte Poster,white,one,printed,2021-11-19,
22-december,#19687,Matte Poster,white,one,shipped,2021-11-19,92748999963309000240550757
22-december,#19676,Matte Poster,white,one,grouped,2021-11-19,
22-december,#19659,Matte Poster,white,one,shipped,2021-11-19,92748999963309000240537291
22-december,#19668,Matte Poster,white,one,shipped,2021-11-19,92748999963309000240541793
22-december,#19693,Matte Poster,white,one,shipped,2021-11-19,92748999963309000240540406
22-december,#19660,Matte Poster,white,one,shipped,2021-11-19,92748999963309000240540482
22-december,#19688,Matte Poster,white,one,grouped,2021-11-19,
22-december,#19717,Matte Poster,white,one,shipped,2021-11-19,92748999963309000240540451
22-december,#19673,Matte Poster,white,one,grouped,2021-11-19,
22-december,#19661,Matte Poster,white,one,shipped,2021-11-19,92748999963309000240551945
22-december,#19678,Matte Poster,white,one,shipped,2021-11-19,92748999963309000240550795
22-december,#19670,Matte Poster,white,one,grouped,2021-11-19,
22-december,#19681,Matte Poster,white,one,shipped,2021-11-19,92748999963309000240537260
22-december,#19716,Matte Poster,white,one,shipped,2021-11-19,92748999963309000240540598
22-december,#19685,Matte Poster,white,one,shipped,2021-11-19,92748999963309000240532340
22-december,#19674,Matte Poster,white,one,shipped,2021-11-19,92748999963309000240550986
22-december,#19684,Matte Poster,white,one,shipped,2021-11-19,92748999963309000240543025
22-december,#19692,Matte Poster,white,one,grouped,2021-11-19,
22-december,#19691,Matte Poster,white,one,shipped,2021-11-19,92748999963309000240532364
22-december,#19793,Matte Poster,white,one,shipped,2021-11-19,92748999963309000240541908
22-december,#19690,Matte Poster,white,one,shipped,2021-11-19,92748999963309000240540369
22-december,#19669,Matte Poster,white,one,shipped,2021-11-19,92748999963309000240537505
22-december,#19696,Matte Poster,white,one,created,2021-11-15,
365giftideas,RlxRYz-UP,Jerzees 50/50 Hoodie,black,xlg,carted,2021-11-18,
365giftideas,w56N2evAI,Gildan Long Sleeve T-Shirt,black,sml,tracked-truckline,2021-11-19,
365giftideas,O8ThCgY3h,Gildan Cotton T-Shirt,light pink,xxl,shipped,2021-11-19,92612999963309000240579899
365giftideas,O8ThCgY3h,Gildan Cotton T-Shirt,sports grey,xxl,shipped,2021-11-19,92612999963309000240579899
365giftideas,kJK6SMwNN,Jerzees 50/50 Hoodie,black,med,tracked-truckline,2021-11-19,
365giftideas,z6VIzw_VF,Gildan 50/50 Hoodie,black,sml,single-qc,2021-11-18,
365giftideas,EGxSFTZ4M,Gildan Cotton T-Shirt,royal blue,med,single-qc,2021-11-19,
365giftideas,7cwhvVZw2,Jerzees 50/50 Hoodie,black,xxl,tracked-truckline,2021-11-18,
365giftideas,1ExqaPsbP,Gildan Cotton T-Shirt,black,xxxl,single-qc,2021-11-17,
365giftideas,C4gPh16hh,Gildan Cotton T-Shirt,black,med,single-qc,2021-11-18,
365giftideas,ZjwUjJniM,Gildan Cotton T-Shirt,black,xlg,tracked-truckline,2021-11-19,
365giftideas,KoCuDgu3N,Gildan 50/50 Hoodie,navy,lrg,carted,2021-11-18,
365giftideas,7cwhvVZw2,Jerzees 50/50 Hoodie,black,xxxxl,tracked-truckline,2021-11-19,
365giftideas,1ExqaPsbP,Gildan Cotton T-Shirt,black,xxxxl,single-qc,2021-11-18,
365giftideas,1ExqaPsbP,Gildan Cotton T-Shirt,black,xlg,carted,2021-11-19,
365giftideas,egRksKRdE,Gildan Cotton T-Shirt,graphite heather,xxxl,shipped,2021-11-19,92748999963309000240521412
365giftideas,1ExqaPsbP,Gildan Cotton T-Shirt,black,lrg,sort-gaylords,2021-11-18,
365giftideas,_vILDEm1z,Gildan Cotton T-Shirt,black,xlg,carted,2021-11-19,
365giftideas,1ExqaPsbP,Gildan Cotton T-Shirt,black,med,single-qc,2021-11-17,
365giftideas,RlxRYz-UP,Jerzees 50/50 Hoodie,black,lrg,carted,2021-11-18,
3k-outfit,#232257,Canvas Unisex T-Shirt,heather navy,sml,shipped,2021-11-19,92748999963309000240576269
3k-outfit,#232154,Gildan Sweatshirt - Crew,black,xxl,tracked-ups,2021-11-18,
3k-outfit,#232295,Hanes Ultimate Cotton Fleece Crew,deep forest,xlg,ordered-ups,2021-11-18,
3k-outfit,#232289,Beverage Mug,white,15oz,printed,2021-11-18,
3k-outfit,#232286,Beverage Mug,white,15oz,shipped,2021-11-19,92612999963309000240522994
3k-outfit,#231193,Canvas Unisex T-Shirt,dark grey heather,lrg,single-qc,2021-11-19,
3k-outfit,#231874,Canvas V-Neck T-Shirt,heather navy,lrg,sort-gaylords,2021-11-17,
3k-outfit,#232287,Beverage Mug,white,15oz,shipped,2021-11-19,92612999963309000240532412
3k-outfit,#232252,Canvas Unisex T-Shirt,heather olive,xlg,tracked-ups,2021-11-19,
3k-outfit,#231970,Hanes Ultimate Cotton Fleece Crew,navy,lrg,shipped,2021-11-19,92612999963309000240557057
3k-outfit,#231951,Gildan Sweatshirt - Crew,forest green,med,blank-item,2021-11-19,
3k-outfit,#231806,Gildan Sweatshirt - Crew,maroon,xlg,blank-item,2021-11-19,
3k-outfit,#232249,Canvas Unisex T-Shirt,heather navy,xlg,shipped,2021-11-19,92748999963309000240546439
3k-outfit,#232235,Gildan Ultra Cotton T-Shirt,white,med,shipped,2021-11-19,9400136895232602126870
3k-outfit,#231797,Gildan Youth Sweatshirt,maroon,lrg,marshal-qc,2021-11-17,
3k-outfit,#232230,Canvas Unisex T-Shirt,black,med,shipped,2021-11-19,92748999963309000240541304
3k-outfit,#232227,Beverage Mug,black,11oz,staged,2021-11-19,
3k-outfit,#232137,Canvas Unisex T-Shirt,dark grey heather,sml,shipped,2021-11-19,92748999963309000240530285
3k-outfit,#232333,Anvil Ladies Ringspun T,heather dk grey,sml,tracked-truckline,2021-11-19,
3k-outfit,#232122,Hanes Ultimate Cotton Fleece Crew,white,xlg,tracked-truckline,2021-11-19,
3k-outfit,#232282,Hanes Ultimate Cotton Fleece Crew,white,xxl,tracked-ups,2021-11-19,
3k-outfit,#232213,Gildan Ultra Ladies T-Shirt,sports grey,sml,carted,2021-11-19,
3k-outfit,#231968,Gildan Sweatshirt - Crew,forest green,med,blank-item,2021-11-19,
3k-outfit,#231874,Canvas Unisex T-Shirt,dark grey heather,xxl,single-qc,2021-11-17,
3k-outfit,#232257,Canvas Unisex T-Shirt,heather navy,xlg,shipped,2021-11-19,92748999963309000240576269
3k-outfit,#232245,Jerzees Sweatshirt - Crew,true red,lrg,marshal-qc,2021-11-19,
3k-outfit,#231744,Jerzees Sweatshirt - Crew,forest green,med,blank-item,2021-11-19,
3k-outfit,#232196,Canvas Unisex T-Shirt,black heather,sml,shipped,2021-11-19,9400136895232601809149
3k-outfit,#232122,Hanes Ultimate Cotton Fleece Crew,white,xlg,blank-item,2021-11-17,
3k-outfit,#231922,Gildan Sweatshirt - Crew,forest green,med,blank-item,2021-11-19,
3k-outfit,#231732,Hanes Ultimate Cotton Fleece Crew,navy,lrg,carted,2021-11-18,
3k-outfit,#231633,Gildan Sweatshirt - Crew,maroon,sml,shipped,2021-11-19,92612999963309000240550348
3k-outfit,#231193,Canvas Unisex T-Shirt,dark grey heather,lrg,sort-gaylords,2021-11-10,
3k-outfit,#232291,Gildan Sweatshirt - Crew,dark heather,sml,tracked-truckline,2021-11-19,
3k-outfit,#232058,Gildan Sweatshirt - Crew,red,xlg,shipped,2021-11-19,92612999963309000240579202
3k-outfit,#232307,Canvas Unisex T-Shirt,black,sml,shipped,2021-11-19,9400136895232602673022
